sensors/logging_button,2015-03-29 06:24:28.351,START
sensors/steering,2015-03-29 06:24:28.354,4514.0
sensors/imu,2015-03-29 06:24:28.361,0.0,0.0,0.0,0.0,0.0,0.0,169.43,-6.35,-3.47
sensors/brake,2015-03-29 06:24:28.370,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:28.386,4514.0
sensors/imu,2015-03-29 06:24:28.393,0.0,0.0,0.0,0.0,0.0,0.0,169.44,-6.35,-3.48
sensors/brake,2015-03-29 06:24:28.403,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:28.409,0.0,0.0,0.0,0.0,0.0,0.0,169.46,-6.39,-3.47
sensors/steering,2015-03-29 06:24:28.419,4514.0
sensors/imu,2015-03-29 06:24:28.425,0.0,0.0,0.0,0.0,0.0,0.0,169.44,-6.35,-3.48
sensors/encoder,2015-03-29 06:24:28.436,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:28.436,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:28.441,0.0,0.0,0.0,0.0,0.0,0.0,169.43,-6.35,-3.47
sensors/steering,2015-03-29 06:24:28.453,4514.0
sensors/brake,2015-03-29 06:24:28.469,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:28.474,0.0,0.0,0.0,0.0,0.0,0.0,169.43,-6.34,-3.46
sensors/steering,2015-03-29 06:24:28.485,4514.0
sensors/brake,2015-03-29 06:24:28.485,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:28.490,0.0,0.0,0.0,0.0,0.0,0.0,169.42,-6.35,-3.48
sensors/imu,2015-03-29 06:24:28.506,0.0,0.0,0.0,0.0,0.0,0.0,169.43,-6.34,-3.49
sensors/brake,2015-03-29 06:24:28.517,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:28.517,4514.0
sensors/steering,2015-03-29 06:24:28.534,4514.0
sensors/imu,2015-03-29 06:24:28.538,0.0,0.0,0.0,0.0,0.0,0.0,169.42,-6.35,-3.49
sensors/encoder,2015-03-29 06:24:28.540,0.0,0.0,0.0,0.0
sensors/brake,2015-03-29 06:24:28.550,'brakeV0.1',false

sensors/imu,2015-03-29 06:24:28.554,0.0,0.0,0.0,0.0,0.0,0.0,169.44,-6.35,-3.5
sensors/steering,2015-03-29 06:24:28.566,4514.0
sensors/imu,2015-03-29 06:24:28.570,0.0,0.0,0.0,0.0,0.0,0.0,169.45,-6.34,-3.5
sensors/brake,2015-03-29 06:24:28.583,'brakeV0.1',false

sensors/steering,2015-03-29 06:24:28.599,4514.0
